name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
flash_u_cnj_00.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bakery_lamport_nomax.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_suggested_inv_01.in, safe,  929.231,  614.574,  265.714,  340.604,  577.091,  0.161,  37.938,  235,  {0: 1; 1: 2; 2: 3; 3: 2; 4: 4; 5: 13; 6: 11; 7: 2; 8: 1; 9: 1},  {0: 24; 1: 24; 2: 24; 3: 24; 4: 39; 5: 39; 6: 39; 7: 39; 8: 39},  1,  12,  22,  0,  12 

chandra_u_cnj_03.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

szymanski_at.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_suggested_inv_02.in, safe,  21.479,  13.456,  6.525,  7.249,  12.972,  0.000,  0.757,  24,  {0: 1; 1: 2; 2: 3},  {0: 28; 1: 28},  0,  13,  13,  0,  3 

chandra_u_cnj_02.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

token_ring.in, safe,  5.506,  2.085,  2.708,  3.615,  1.545,  0.000,  0.333,  31,  {0: 1; 1: 2; 2: 1; 3: 3},  {0: 17; 1: 17; 2: 17},  0,  7,  7,  0,  7 

flash_u_cnj_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

mutex.in, safe,  6.444,  2.181,  2.844,  4.699,  1.259,  0.019,  0.884,  46,  {0: 1; 1: 1; 2: 1; 3: 4; 4: 4},  {0: 11; 1: 11; 2: 11; 3: 15},  1,  4,  6,  0,  6 

