name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
bakery_lamport_nomax.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_suggested_inv_01.in, safe,  1132.530,  691.884,  381.625,  500.042,  619.404,  0.139,  49.513,  198,  {0: 1; 1: 3; 2: 4; 3: 4; 4: 2; 5: 8; 6: 19},  {0: 24; 1: 39; 2: 39; 3: 39; 4: 39; 5: 39},  1,  12,  18,  0,  12 

chandra_u_cnj_03.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

szymanski_at.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

chandra_suggested_inv_02.in, safe,  75.132,  59.824,  12.973,  14.365,  58.637,  0.000,  1.333,  31,  {0: 1; 1: 3; 2: 4},  {0: 28; 1: 28},  0,  13,  13,  0,  3 

chandra_u_cnj_02.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

token_ring.in, safe,  12.174,  3.388,  6.714,  10.099,  1.526,  0.000,  1.525,  37,  {0: 1; 1: 2; 2: 5; 3: 4},  {0: 17; 1: 17; 2: 17},  0,  7,  7,  0,  6 

flash_u_cnj_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

mutex.in, safe,  16.768,  8.450,  6.225,  9.045,  6.886,  0.019,  1.175,  77,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 6; 5: 1; 6: 1},  {0: 11; 1: 17; 2: 17; 3: 17; 4: 17; 5: 17},  1,  4,  6,  0,  6 

