name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
sequence_safe_1_s_d-src_s-dst_d.in, safe,  586.826,  353.296,  218.404,  274.018,  311.249,  0.114,  12.824,  69,  {0: 1; 1: 2; 2: 2; 3: 2; 4: 7; 5: 1},  {0: 13; 1: 164; 2: 73; 3: 23; 4: 23},  2,  3,  23,  0,  7 

system_2.in, safe,  12.069,  5.623,  2.957,  6.722,  5.076,  0.016,  0.496,  273,  {0: 1; 1: 1; 2: 3; 3: 5; 4: 8; 5: 11; 6: 20; 7: 8},  {0: 8; 1: 11; 2: 11; 3: 11; 4: 11; 5: 11; 6: 11},  1,  8,  11,  0,  10 

sequence_unsafe_5_s_d-src_s-dst_d.in, unsafe,  140.477,  23.138,  4.297,  137.281,  1.795,  0.978,  110.239,  65,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 4; 5: 5},  {0: 37; 1: 28; 2: 20; 3: 13; 4: 7},  0,  7,  0,  0,  0 

sequence_safe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

synapse.in, safe,  4.633,  1.887,  1.834,  2.810,  1.432,  0.028,  0.447,  38,  {0: 1; 1: 1; 2: 1; 3: 2; 4: 2; 5: 1},  {0: 9; 1: 19; 2: 19; 3: 19; 4: 19},  1,  3,  7,  0,  5 

converging_unsafe_6_a3_b0-src_a3-dst_b0.in, unsafe,  842.442,  370.554,  92.110,  730.692,  110.415,  0.466,  366.765,  91,  {0: 1; 1: 1; 2: 5; 3: 9; 4: 8; 5: 3},  {0: 58; 1: 58; 2: 42; 3: 27},  0,  13,  0,  0,  0 

ring_safe_3_s_d-src_s-dst_d.in, safe,  1885.402,  1337.950,  471.737,  685.656,  1197.935,  0.212,  71.715,  88,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 5; 5: 5; 6: 3},  {0: 136; 1: 136; 2: 86; 3: 86; 4: 47; 5: 19},  1,  5,  19,  0,  10 

sequence_unsafe_2_s_d-src_s-dst_d.in, unsafe,  0.707,  0.196,  0.116,  0.475,  0.096,  0.024,  0.139,  21,  {0: 1; 1: 1; 2: 4},  {0: 7; 1: 4},  0,  4,  0,  0,  0 

sz_fp.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_unsafe_4_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

converging_safe_2_a1_b0-src_a1-dst_b0.in, safe,  1.117,  0.260,  0.200,  0.918,  0.098,  0.000,  0.407,  15,  {0: 1; 1: 1; 2: 4},  {0: 11; 1: 5},  0,  5,  5,  0,  3 

jml.in, safe,  707.327,  273.213,  344.195,  504.636,  193.408,  0.026,  83.558,  291,  {0: 1; 1: 3; 2: 2; 3: 4; 4: 6; 5: 12; 6: 10; 7: 12; 8: 9},  {0: 50; 1: 50; 2: 50; 3: 34; 4: 34; 5: 34; 6: 21; 7: 21},  1,  6,  11,  0,  12 

messenger_unsafe_5_a0_a5-src_a0-dst_a5.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

