name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
sequence_safe_1_s_d-src_s-dst_d.in, safe,  63.553,  19.271,  35.914,  55.101,  8.121,  0.123,  7.026,  51,  {0: 1; 1: 2; 2: 2; 3: 2; 4: 6},  {0: 13; 1: 98; 2: 51; 3: 19},  2,  3,  19,  0,  10 

system_2.in, safe,  34.400,  20.302,  6.121,  14.568,  19.500,  0.017,  1.118,  596,  {0: 1; 1: 1; 2: 4; 3: 4; 4: 8; 5: 15; 6: 8; 7: 21; 8: 25; 9: 9},  {0: 8; 1: 8; 2: 10; 3: 10; 4: 10; 5: 10; 6: 10; 7: 10; 8: 10},  1,  8,  10,  0,  10 

sequence_unsafe_5_s_d-src_s-dst_d.in, unsafe,  221.358,  24.213,  3.024,  217.733,  1.824,  1.379,  190.913,  65,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 4; 5: 5},  {0: 37; 1: 28; 2: 20; 3: 13; 4: 7},  0,  7,  0,  0,  0 

sequence_safe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

synapse.in, safe,  6.922,  2.915,  2.847,  4.116,  2.313,  0.026,  0.596,  40,  {0: 1; 1: 1; 2: 1; 3: 2; 4: 2; 5: 1},  {0: 9; 1: 25; 2: 25; 3: 25; 4: 25},  1,  3,  10,  0,  5 

converging_unsafe_6_a3_b0-src_a3-dst_b0.in, unsafe,  993.657,  273.478,  93.626,  897.727,  92.929,  2.153,  613.884,  76,  {0: 1; 1: 1; 2: 6; 3: 4; 4: 10},  {0: 58; 1: 42; 2: 27; 3: 13},  0,  13,  0,  0,  0 

ring_safe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_unsafe_2_s_d-src_s-dst_d.in, unsafe,  0.794,  0.195,  0.112,  0.592,  0.068,  0.022,  0.217,  22,  {0: 1; 1: 1; 2: 2; 3: 3},  {0: 11; 1: 7; 2: 4},  0,  4,  0,  0,  0 

sz_fp.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_unsafe_4_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

converging_safe_2_a1_b0-src_a1-dst_b0.in, safe,  0.698,  0.266,  0.135,  0.411,  0.191,  0.000,  0.087,  14,  {0: 1; 1: 2; 2: 2},  {0: 11; 1: 5},  0,  5,  5,  0,  3 

