name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
mutex.in, safe,  6.978,  2.175,  3.270,  4.933,  1.473,  0.022,  0.794,  58,  {0: 1; 1: 2; 2: 2; 3: 4; 4: 4},  {0: 11; 1: 11; 2: 11; 3: 21},  1,  4 ,  9,  {'index': 2},  8, 0, 5 

moesi.in, safe,  3.606,  1.177,  1.445,  2.539,  0.769,  0.020,  0.474,  38,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3},  {0: 9; 1: 21; 2: 21; 3: 21},  1,  3 ,  9,  {'index': 2},  5, 0, 5 

german_undip.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 6 

xerox.in, safe,  151.384,  65.721,  65.109,  109.441,  39.809,  0.029,  16.257,  156,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 6; 5: 9; 6: 10; 7: 7},  {0: 39; 1: 24; 2: 24; 3: 24; 4: 24; 5: 24; 6: 24},  1,  4 ,  9,  {'index': 2},  9, 0, 8 

szymanski_at.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  6 , 0, 0, 0, 0, 9 

chandra_unsafe_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 2 

chandra_u_cnj_02.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  14 , 0, 0, 0, 0, 2 

berkeley.in, safe,  2.546,  1.027,  0.800,  1.502,  0.714,  0.014,  0.307,  33,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 1},  {0: 9; 1: 17; 2: 17; 3: 17},  1,  3 ,  7,  {'index': 2},  5, 0, 5 

chandra_suggested_inv_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 2 

mesi.in, safe,  7.208,  3.050,  2.766,  4.568,  2.225,  0.014,  0.847,  42,  {0: 1; 1: 1; 2: 2; 3: 4; 4: 1},  {0: 18; 1: 27; 2: 15; 3: 15},  1,  3 ,  6,  {'index': 2},  7, 0, 5 

german_pfs.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 8 

