name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
dijkstra.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  5 , 0, 0, 0, 0, 10 

mutex.in, safe,  4.524,  1.743,  1.716,  3.072,  1.067,  0.022,  0.479,  67,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 4},  {0: 11; 1: 13; 2: 13; 3: 13},  1,  4 ,  5,  {'index': 2},  5, 0, 5 

moesi.in, safe,  3.214,  0.935,  1.381,  2.220,  0.679,  0.023,  0.332,  72,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3},  {0: 9; 1: 21; 2: 21; 3: 21},  1,  3 ,  9,  {'index': 2},  5, 0, 5 

german_undip.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 7 

xerox.in, safe,  59.000,  25.678,  25.116,  47.276,  10.399,  0.030,  5.400,  784,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 6; 5: 7; 6: 5},  {0: 39; 1: 24; 2: 24; 3: 24; 4: 24; 5: 24},  1,  4 ,  9,  {'index': 2},  4, 0, 7 

szymanski_at.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  6 , 0, 0, 0, 0, 8 

chandra_unsafe_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 2 

chandra_u_cnj_02.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  14 , 0, 0, 0, 0, 2 

berkeley.in, safe,  2.621,  1.071,  0.835,  1.482,  0.791,  0.016,  0.242,  59,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 1},  {0: 9; 1: 17; 2: 17; 3: 17},  1,  3 ,  7,  {'index': 2},  5, 0, 5 

chandra_suggested_inv_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 2 

mesi.in, safe,  8.309,  3.501,  3.411,  6.086,  1.835,  0.015,  0.743,  81,  {0: 1; 1: 1; 2: 2; 3: 4; 4: 3},  {0: 18; 1: 27; 2: 15; 3: 15},  1,  3 ,  6,  {'index': 2},  6, 0, 5 

german_pfs.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 9 

