name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
bakery_bogus.in, unsafe,  1012.774,  423.853,  465.098,  937.629,  49.577,  0.244,  110.945,  1094,  {0: 1; 1: 4; 2: 4; 3: 13; 4: 27; 5: 22; 6: 46},  {0: 25; 1: 25; 2: 25; 3: 25; 4: 25; 5: 25},  2,  6 ,  0,  {'index': 2},  0, 0, 6 

crash3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  10 , 0, 0, 0, 0, 13 

messenger_unsafe_3_a0_a3-src_a0-dst_a3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  15 , 0, 0, 0, 0, 14 

converging_safe_6_a3_b0-src_a3-dst_b0.in, safe,  158.710,  89.655,  45.048,  79.289,  78.446,  0.000,  14.892,  1547,  {0: 1; 1: 1; 2: 2; 3: 6; 4: 4; 5: 5; 6: 6},  {0: 93; 1: 75; 2: 58; 3: 42; 4: 27; 5: 13},  0,  13 ,  13,  0,  7, 0, 7 

sequence_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  4 , 0, 0, 0, 0, 5 

bw-bakery.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  10 , 0, 0, 0, 0, 6 

token_ring.in, safe,  73.723,  37.052,  28.909,  43.037,  27.141,  0.070,  4.599,  248,  {0: 1; 1: 1; 2: 2; 3: 7; 4: 7; 5: 5; 6: 3},  {0: 14; 1: 31; 2: 31; 3: 31; 4: 31; 5: 31},  2,  6 ,  15,  {'index': 2},  11, 0, 7 

sz_fp.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 12 

messenger_unsafe_1_a0_a1-src_a0-dst_a1.in, unsafe,  2.774,  0.903,  0.465,  1.286,  1.101,  0.038,  0.131,  324,  {0: 1; 1: 3; 2: 3; 3: 7; 4: 2; 5: 1},  {0: 15; 1: 9; 2: 9; 3: 7; 4: 7},  0,  7 ,  0,  {'index': 2},  0, 0, 5 

bakery.in, safe,  83.619,  45.138,  27.683,  52.012,  27.198,  0.083,  6.529,  495,  {0: 1; 1: 2; 2: 2; 3: 4; 4: 8; 5: 10; 6: 13; 7: 3},  {0: 13; 1: 13; 2: 13; 3: 21; 4: 21; 5: 21; 6: 21},  2,  4 ,  9,  {'index': 2},  10, 0, 8 

network_unsafe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 6 

converging_unsafe_6_a3_b0-src_a3-dst_b0.in, unsafe,  443.490,  308.991,  108.278,  136.805,  304.589,  1.185,  14.746,  1655,  {0: 1; 1: 1; 2: 5; 3: 5; 4: 7},  {0: 58; 1: 42; 2: 27; 3: 13},  0,  13 ,  0,  {'index': 5},  0, 0, 5 

ring_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  4 , 0, 0, 0, 0, 5 

sequence_unsafe_6_s_d-src_s-dst_d.in, unsafe,  105.215,  11.343,  13.257,  85.308,  3.103,  16.365,  56.894,  1168,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 4; 5: 5; 6: 6},  {0: 53; 1: 42; 2: 32; 3: 23; 4: 15; 5: 8},  0,  6 ,  0,  {'index': 7},  0, 0, 7 

sequence_safe_2_s_d-src_s-dst_d.in, safe,  40.188,  19.534,  15.985,  26.925,  12.933,  0.034,  3.082,  352,  {0: 1; 1: 1; 2: 2; 3: 5; 4: 9; 5: 2},  {0: 32; 1: 32; 2: 19; 3: 19; 4: 9},  1,  2 ,  7,  {'index': 3},  6, 0, 6 

mux-sem-param.in, safe,  4.093,  1.713,  1.183,  2.770,  0.916,  0.021,  0.529,  95,  {0: 1; 1: 2; 2: 1; 3: 4; 4: 5},  {0: 10; 1: 13; 2: 13; 3: 13},  1,  4 ,  7,  {'index': 2},  3, 0, 5 

synapse.in, safe,  2.283,  0.844,  0.783,  1.405,  0.583,  0.030,  0.248,  57,  {0: 1; 1: 1; 2: 1; 3: 2; 4: 2},  {0: 9; 1: 15; 2: 15; 3: 15},  1,  3 ,  6,  {'index': 3},  4, 0, 5 

network_safe_2_d_e-src_d-dst_e.in, safe,  2423.384,  1302.694,  948.524,  2005.181,  415.485,  0.000,  155.516,  1799,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 4; 5: 12; 6: 15; 7: 7; 8: 4},  {0: 73; 1: 73; 2: 73; 3: 73; 4: 48; 5: 48; 6: 28; 7: 13},  0,  10 ,  10,  0,  12, 0, 9 

network_safe_4_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  16 , 0, 0, 0, 0, 7 

csm.in, safe,  2.615,  0.524,  0.495,  1.763,  0.685,  0.000,  0.623,  145,  {0: 1; 1: 1; 2: 7},  {0: 51; 1: 16},  0,  16 ,  16,  0,  10, 0, 4 

network_safe_1_d_e-src_d-dst_e.in, safe,  100.137,  50.585,  38.736,  83.393,  16.236,  0.000,  7.188,  682,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 7; 5: 7; 6: 5},  {0: 33; 1: 33; 2: 33; 3: 33; 4: 20; 5: 10},  0,  7 ,  7,  0,  8, 0, 7 

messenger_unsafe_2_a0_a2-src_a0-dst_a2.in, unsafe,  120.190,  71.294,  11.484,  38.149,  78.347,  0.231,  9.692,  5530,  {0: 1; 1: 8; 2: 8; 3: 16; 4: 7; 5: 10; 6: 13; 7: 16; 8: 29; 9: 16; 10: 19},  {0: 32; 1: 32; 2: 23; 3: 23; 4: 23; 5: 23; 6: 15; 7: 15; 8: 15; 9: 11},  0,  11 ,  0,  {'index': 3},  0, 0, 10 

network_safe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  22 , 0, 0, 0, 0, 6 

messenger_unsafe_4_a0_a4-src_a0-dst_a4.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 12 

messenger_safe_2_a0_a2-src_a0-dst_a2.in, safe,  39.861,  23.656,  5.366,  12.208,  26.235,  0.000,  1.492,  1799,  {0: 1; 1: 2; 2: 8; 3: 40; 4: 3; 5: 1},  {0: 27; 1: 19; 2: 19; 3: 15; 4: 15},  0,  11 ,  11,  0,  5, 0, 6 

Fischer_U.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  4 , 0, 0, 0, 42, 6 

converging_safe_1_a0_b0-src_a0-dst_b0.in, safe,  0.108,  0.028,  0.020,  0.038,  0.021,  0.000,  0.001,  14,  {0: 1; 1: 1},  {0: 3},  0,  3 ,  3,  0,  1, 0, 2 

dijkstra_1.in, safe,  3134.428,  2017.984,  884.578,  1912.541,  1173.769,  0.374,  187.125,  2798,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 5; 5: 5; 6: 22; 7: 13; 8: 15; 9: 49; 10: 62; 11: 8},  {0: 23; 1: 23; 2: 23; 3: 23; 4: 23; 5: 29; 6: 29; 7: 29; 8: 29; 9: 29; 10: 29},  3,  5 ,  13,  {'index': 2},  14, 0, 12 

converging_unsafe_2_a1_b0-src_a1-dst_b0.in, unsafe,  2.505,  0.468,  0.745,  1.948,  0.313,  0.075,  0.469,  245,  {0: 1; 1: 1; 2: 3; 3: 3},  {0: 18; 1: 11; 2: 5},  0,  5 ,  0,  {'index': 3},  0, 0, 3 

swim.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

tricky.in, safe,  0.088,  0.024,  0.015,  0.027,  0.015,  0.000,  0.001,  11,  {0: 1; 1: 1},  {0: 2},  0,  2 ,  2,  0,  1, 0, 2 

Fischer_0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  5 , 0, 0, 0, 0, 8 

MIS.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

ticket.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  5 , 0, 0, 0, 0, 9 

filter-simple.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1 

