name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
moesi.in, safe,  3.229,  0.975,  1.380,  2.219,  0.703,  0.022,  0.333,  71,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3},  {0: 9; 1: 21; 2: 21; 3: 21},  1,  3 ,  9,  {'index': 2},  5, 0, 5 

german_undip.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 7 

xerox.in, safe,  46.046,  19.234,  19.799,  36.316,  8.436,  0.029,  4.486,  707,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 5; 5: 6; 6: 5},  {0: 39; 1: 24; 2: 24; 3: 24; 4: 24; 5: 24},  1,  4 ,  9,  {'index': 2},  4, 0, 7 

szymanski_at.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  6 , 0, 0, 0, 0, 8 

chandra_unsafe_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 2 

chandra_u_cnj_02.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  14 , 0, 0, 0, 0, 2 

berkeley.in, safe,  1.612,  0.553,  0.546,  1.095,  0.300,  0.015,  0.190,  48,  {0: 1; 1: 1; 2: 1; 3: 3},  {0: 9; 1: 17; 2: 17},  1,  3 ,  7,  {'index': 2},  4, 0, 4 

chandra_suggested_inv_01.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  11 , 0, 0, 0, 0, 2 

mesi.in, safe,  8.348,  3.522,  3.425,  6.113,  1.851,  0.015,  0.745,  81,  {0: 1; 1: 1; 2: 2; 3: 4; 4: 3},  {0: 18; 1: 27; 2: 15; 3: 15},  1,  3 ,  6,  {'index': 2},  6, 0, 5 

german_pfs.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  10 , 0, 0, 0, 0, 8 

