name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
bakery_bogus.in, unsafe,  223.242,  74.099,  105.911,  171.090,  43.254,  0.070,  37.673,  266,  {0: 1; 1: 3; 2: 2; 3: 13; 4: 19; 5: 26; 6: 5},  {0: 18; 1: 18; 2: 18; 3: 18; 4: 18; 5: 18},  1,  6 ,  0,  {'index': 2},  0, 0, 6 

crash3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  10 , 0, 0, 0, 0, 13 

messenger_unsafe_3_a0_a3-src_a0-dst_a3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  15 , 0, 0, 0, 0, 13 

converging_safe_6_a3_b0-src_a3-dst_b0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  13 , 0, 0, 0, 0, 5 

sequence_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  4 , 0, 0, 0, 0, 5 

bw-bakery.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  10 , 0, 0, 0, 0, 6 

token_ring.in, safe,  43.250,  22.238,  14.644,  22.371,  18.995,  0.081,  4.136,  119,  {0: 1; 1: 1; 2: 2; 3: 8; 4: 7; 5: 2; 6: 1},  {0: 14; 1: 29; 2: 29; 3: 29; 4: 29; 5: 29},  2,  6 ,  14,  {'index': 2},  8, 1, 7 

sz_fp.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  3 , 0, 0, 0, 0, 12 

messenger_unsafe_1_a0_a1-src_a0-dst_a1.in, unsafe,  3.441,  1.365,  0.492,  1.869,  1.191,  0.030,  0.291,  85,  {0: 1; 1: 2; 2: 4; 3: 11; 4: 3},  {0: 15; 1: 9; 2: 9; 3: 7},  0,  7 ,  0,  {'index': 2},  0, 0, 5 

bakery.in, safe,  3.029,  1.296,  0.921,  1.728,  1.015,  0.017,  0.347,  39,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 2},  {0: 9; 1: 9; 2: 23; 3: 23},  1,  3 ,  8,  {'index': 2},  6, 0, 5 

network_unsafe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 7 

converging_unsafe_6_a3_b0-src_a3-dst_b0.in, unsafe,  2867.089,  1297.810,  47.953,  2551.876,  313.553,  0.749,  1510.492,  73,  {0: 1; 1: 2; 2: 3; 3: 6; 4: 8; 5: 1},  {0: 58; 1: 42; 2: 27; 3: 27},  0,  13 ,  0,  {'index': 4},  0, 0, 5 

ring_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,  4 , 0, 0, 0, 0, 5 

sequence_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  6 , 0, 0, 0, 0, 6 

sequence_safe_2_s_d-src_s-dst_d.in, safe,  59.007,  27.597,  23.768,  37.392,  21.209,  0.032,  5.986,  91,  {0: 1; 1: 1; 2: 3; 3: 6; 4: 8; 5: 2},  {0: 35; 1: 35; 2: 21; 3: 21; 4: 10},  1,  2 ,  8,  {'index': 3},  6, 0, 6 

mux-sem-param.in, safe,  6.139,  2.248,  2.222,  3.954,  1.580,  0.016,  0.911,  63,  {0: 1; 1: 2; 2: 2; 3: 4; 4: 7},  {0: 10; 1: 16; 2: 16; 3: 16},  1,  4 ,  8,  {'index': 2},  4, 0, 5 

synapse.in, safe,  2.336,  0.934,  0.626,  1.313,  0.706,  0.029,  0.350,  33,  {0: 1; 1: 1; 2: 1; 3: 2; 4: 2},  {0: 9; 1: 15; 2: 15; 3: 15},  1,  3 ,  6,  {'index': 3},  5, 0, 5 

network_safe_2_d_e-src_d-dst_e.in, safe,  1983.676,  544.813,  1140.704,  1609.371,  369.138,  0.000,  281.868,  229,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 4; 5: 12; 6: 15; 7: 7; 8: 5},  {0: 73; 1: 73; 2: 73; 3: 73; 4: 48; 5: 48; 6: 28; 7: 13},  0,  10 ,  10,  0,  12, 0, 9 

network_safe_4_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  16 , 0, 0, 0, 0, 7 

csm.in, safe,  0.213,  0.052,  0.047,  0.087,  0.035,  0.000,  0.002,  5,  {0: 1; 1: 1},  {0: 16},  0,  16 ,  16,  0,  2, 0, 2 

network_safe_1_d_e-src_d-dst_e.in, safe,  72.377,  21.302,  37.447,  59.044,  12.668,  0.000,  10.522,  104,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 7; 5: 7; 6: 5},  {0: 33; 1: 33; 2: 33; 3: 33; 4: 20; 5: 10},  0,  7 ,  7,  0,  8, 0, 7 

messenger_unsafe_2_a0_a2-src_a0-dst_a2.in, unsafe,  140.396,  86.501,  10.562,  60.269,  75.525,  0.184,  20.892,  687,  {0: 1; 1: 7; 2: 5; 3: 13; 4: 4; 5: 25; 6: 23; 7: 3; 8: 19; 9: 22; 10: 15},  {0: 32; 1: 32; 2: 23; 3: 23; 4: 23; 5: 23; 6: 15; 7: 15; 8: 15; 9: 12},  0,  11 ,  0,  {'index': 3},  0, 0, 10 

network_safe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  22 , 0, 0, 0, 0, 6 

messenger_unsafe_4_a0_a4-src_a0-dst_a4.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  19 , 0, 0, 0, 0, 9 

messenger_safe_2_a0_a2-src_a0-dst_a2.in, safe,  641.052,  465.169,  34.035,  207.939,  421.917,  0.000,  85.705,  1301,  {0: 1; 1: 6; 2: 8; 3: 22; 4: 5; 5: 15; 6: 46; 7: 50; 8: 18; 9: 58; 10: 5},  {0: 36; 1: 36; 2: 36; 3: 36; 4: 36; 5: 27; 6: 27; 7: 27; 8: 19; 9: 14},  0,  11 ,  11,  0,  7, 0, 11 

Fischer_U.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,  4 , 0, 0, 0, 43, 6 

